	"METEOROLOGICAL OBSERVATIONS, BY THE UNITED STATES EXPLORING EXPEDITION"														
	U.S. SHIP VINCENNES 														

Pg. 1															

															
YEAR	MONTH	DAY	HOUR	LAT	LONG	THERMOMETERS					WIND				
				North	West	Air	Water	Masthead	Barom	Hygrom	Direct	Force	 Clouds	Weather	Remarks
			200			70.0	74.0								ward and eastward.
			300			70.0	74.0	70.0	30.350	72° 55°					Squalls from the land.
			400			71.0	74.0					4			
			500			71.0	74.0							b.c.	
			600			71.0	74.0								Island of St. Mary's
			700			72.0	74.0					5			"bearing W. S. W., St."
			800			73.0	74.0					4			Michael's N. by W.
			900			74.0	74.0	71.0	30.4	67° 52°	E. by N.				
			1000			75.0	74.0								
			1100			76.0	75.0					5			
			1200			76.0	75.0								
			1300	37 19	24 01	72.0	75.0								
			1400			71.0	75.0						Cum.	c.	
			1500			71.0	75.0	70.0	30.320	72° 60°		3			
			1600			71.0	75.0								
			1700			72.0	74.0				East				
			1800			71.0	74.0								
			1900			71.0	74.0								
			2000			71.0	74.0								
			2100			70.0	74.0	69.0	30.300	73° 63°					
			2200			70.0	74.0				E. by N.	2			
			2300			71.0	74.0								
			2400			71.0	74.0								
			Mean.			71.75	74.25	70.00	30.342						
						71.75	74.25	70.00	30.343						
		14	100			70.0	74.0				E. by N.	2	Cum. st.	 b. c.	Course S. E. by S
			200			70.0	74.0								
			300			70.0	74.0	69.0	30.200	74°55°					
			400			70.0	74.0					3			
			500			70.0	74.0								
			600			70.0	74.0								
			700			70.0	74.0				N. E.				
			800			72.0	74.0					4		c	
			900			72.0	74.0	72.0	30.2	71° 55°					"Currennt E.S.E., half"
			1000			75.0	74.0								knot per boat. Tem-
			1100			73.0	74.0						Cirro-st.		perature of water at
			1200	36  21	22  28	69.0	74.0					3			"105 fathoms, 60°."
			1300			76.0	75.0				N.%				
			1400			76.0	75.0								
			1500			75.0	75.0	72.0	30.090	75° 58°					
			1600			73.0	75.0						Nimbus	 c. u.	
			1700			73.0	75.0								
			1800			72.0	74.0								
			1900			71.0	74.0								
			2000			70.0	74.0				N. Wd.			o. u. r.	
			2100			70.0	74.0	70.0	30.090	74° 60°		2	 Over-		
			2200			69.0	74.0					3	 cast.		
			2300			69.0	74.0					4			
			2400			69.0	74.0								
			Mean.			71.41	74.16	70.75	30.145						
						71.42	74.21	70.75	30.145						
		15	100			70.0	72.0				N. Wd.	5	Cum. st.	 c.q.p.	Course S. E. by S.
			200			71.0	73.0								
			300			71.0	72.0	70.0	29.920	75° 65°					
