	"VOYAGE AU POLE SUD ET DANS L'OCEANIE SUR LES CORVETTES L'ASTROLABE ET LA ZELEE, CAPT. M J DUMONT D'URVILLE"								

Pg. 2									

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	SIMPIESOMETER	AIR	SEA
								TEMP	TEMP
1837	9	8	400						
			800			747.6		9.0	8.8
			1200			750.1		11.4	8.9
			1600			753.0		11.6	9.3
			2000			758.1		9.9	8.9
			2400			760.5		9.6	8.8
		27	400			757.1		7.7	9.0
			800			756.2		11.6	9.3
			1200			755.3		13.0	9.3
			1600			754.8		13.5	9.3
			2000			758.0		12.5	9.8
			2400			755.2		11.6	9.6
		28	400			755.0		10.9	9.5
			800			754.6		11.8	9.8
			1200			753.1		14.2	10.2
			1600			750.3		14.5	9.5
			2000			748.8		13.2	9.5
			2400			747.2		12.4	8.5
		29	400			744.5		12.7	9.3
			800			746.0		12.3	10.2
			1200			746.9		13.7	10.7
			1600			747.6		16.4	11.2
			2000			745.3		11.9	10.3
			2400			745.3		10.1	9.8
		30	400			743.4		9.5	9.4
			800			742.5		11.3	9.2
			1200			739.5		11.0	8.0
			1600			736.2		11.6	8.6
			2000			730.2		9.6	8.8
			2400						
		31	400			733.8		8.2	7.8
			800			735.3		9.5	8.5
			1200			736.4		10.4	8.8
			1600			739.3		11.2	9.2
			2000			740.2		9.6	8.8
			2400						
1838	1	1	400			742.2		8.9	8.2
			800			744.8		9.4	9.0
			1200			744.8		10.3	9.0
			1600			747.1		12.3	9.2
			2000			748.2		9.8	9.0
			2400						
		2	400			747.9		6.7	8.7
			800			748.2		8.6	8.9
			1200			749.2		10.5	9.1
			1600			748.2		12.1	9.5
			2000			749.2		10.5	9.4
			2400			749.2		9.2	8.9
		3	400			751.8		8.8	9.1
			800			752.8		11.8	9.0
			1200			754.2		16.8	10.0
			1600			754.7		14.7	9.0
			2000			753.2		11.4	9.2
			2400			752.5		9.4	9.1
		4	400			751.1		9.0	9.3
			800			747.3		9.2	9.6
			1200			745.6		10.7	9.8
			1600			744.2		11.8	10.7
			2000			744.2		10.0	9.0
			2400			745.5		10.3	8.7
		5	400			742.8		10.0	10.0
			800			741.2		10.0	10.2
			1200						
			1600			742.3		11.0	9.8
			2000						
			2400			742.0		10.0	8.6
		6	400			740.4		7.5	7.2
			800			746.3		9.0	9.8
			1200			748.4		10.5	9.9
			1600			749.4		12.3	10.0
			2000			752.7		10.5	10.2
			2400						
		7	400			754.0		8.0	8.3
			800			754.2		10.3	9.0
			1200			752.6		10.2	9.9
			1600			751.8		9.9	9.4
			2000			749.2		12.1	10.2
			2400			749.2		11.6	10.3
		8	400			746.2		12.7	10.1
			800	52 44	70 48	742.8		14.6	10.2
			1200			746.0		15.1	10.1
			1600			746.5		14.3	11.3
			2000			747.8		13.0	11.1
			2400			749.6		12.0	10.6
		9	400			752.3		10.0	9.6
			800	53 40	70 17	746.8		11.2	11.1
			1200			747.8		12.2	11.5
