"METEOROLOGICAL OBSERVATIONS MADE ON BOARD THE  ""AURORA"", BETWEEN CAPE TOWN AND HOBART 1911 TO 1914"																							
Month/Year	Day	Hour	Lat	Long	Air pressure in inches corrected and reduced	Air temperature in deg. F.																	
			S	E																			
			°    '	°    '																			
				FIRST	SUBANTARCTIC	VOYAGE																	
June	1	4			29.14	43.0
		8			29.30	41.0
		12	52 23	142 14	29.38	41.0
		16			29.38	40.0
		20			29.25	41.0
		24			29.08	41.0
	2	4			29.08	41.0
		8			29.11	39.4
		12	52 46	142 0	29.06	39.5
		16			29.09	38.0
		20			29.25	39.5
		24			29.33	39.0
	3	4			29.38	38.0
		8			29.49	37.5
		12	52 1	146 59	29.50	38.0
		16			29.53	40.8
		20			29.59	40.0
		24			29.65	40.5
	4	4			29.64	40.8
		8			29.65	41.0
		12	51 55	151 5	29.57	41.5
		16			29.43	42.0
		20			29.26	46.0
		24			29.37	43.0
	5	4			29.43	37.8
		8			29.47	39.0
		12	53 28	154 22	29.45	39.0
		16			29.51	38.1
		20			29.61	38.2
		24			29.69	37.0
	6	4			29.72	38.0
		8			29.75	38.0
		12	53 45	158 12	29.76	38.0
		16			29.71	41.0
		20			29.75	40.0
		24			29.62	42.0
	7	4			29.49	41.0
		8			29.30	42.0
		12	54 38	159 0	29.22	41.0
		16	Anchored at	Macquarie Is.	29.31	38.8
		20			29.61	37.5
		24			29.85	36.0
	8	4			29.95	38.0
		8			29.95	40.0
		12			29.87	43.8
		16			29.92	41.0
		20			29.98	42.0
		24			30.03	42.0
	9	4			30.05	42.2
		8			30.10	41.0
		12			30.09	42.0
		16			30.05	42.5
		20			30.04	43.0
		24			30.02	43.0
	10	4			30.00	42.0
		8			29.93	42.5
		12			29.83	43.0
		16			29.74	43.0
		20			29.66	43.3
		24			29.56	43.0
	11	4			29.58	36.6
		8			29.77	35.0
		12			29.97	34.2
		16			30.08	35.0
		20			30.15	35.6
		24			30.17	34.0
	12	4			30.16	36.0
		8			30.16	35.2
		12			30.17	36.2
		16			30.16	37.0
		20			30.16	38.0
		24			30.14	39.5
	13	4			30.10	40.0
		8			30.08	41.0
		12			30.07	42.0
		16			29.91	41.0
		20			29.86	43.0
		24			29.81	44.0
	14	4			29.77	44.2
		8			29.78	44.0
		12			29.78	44.0
		16			29.77	42.5
		20			29.72	44.0
		24			29.68	41.3
	15	4			29.58	42.8
		8			29.52	42.8
		12			29.47	42.5
		16			29.41	43.0
		20			29.31	43.0
		24			29.21	43.0
	16	4			29.14	37.8
		8			29.22	37.8
		12			29.30	36.5
		16			29.32	37.0
		20			29.33	37.8
		24			29.27	37.0
	17	4			29.22	39.5
		8			29.14	41.0
		12			29.05	40.5
		16			29.02	40.1
		20			29.06	40.4
		24			29.21	41.5
	18	4			29.46	39.4
		8			29.70	39.0
		12			29.80	34.6
		16			29.97	34.0
		20			30.04	34.7
		24			30.03	35.2
	19	4			29.94	35.0
		8			29.85	36.0
		12			29.72	38.8
		16			29.62	39.8
		20			29.63	38.0
		24			29.74	36.5
	20	4			29.81	35.5
		8			29.85	35.0
		12			29.68	37.5
		16			29.52	40.0
		20			29.50	38.0
		24			29.45	37.0
	21	4			29.43	38.3
		8			29.41	38.0
		12			29.44	37.2
		16			29.52	35.0
		20			29.67	34.0
		24			29.81	33.8
	22	4			29.92	36.0
		8	Departed from	Macquarie Is.	30.01	36.0
		12			29.97	39.0
		16			29.99	41.8
		20			29.99	43.5
		24			30.01	41.2
	23	4			30.01	43.0
		8			30.04	43.0
		12	52 41	162 38	30.02	45.2
		16			30.00	45.2
		20			29.97	44.0
		24			29.92	45.8
	24	4			29.82	46.0
		8			29.94	42.7
		12	51 6	165 34	29.94	44.0
		16			29.90	45.0
		20			29.88	46.5
		24			29.85	47.0
	25	4			29.84	46.0
		8			29.83	46.0
		12			29.83	46.7
		16			29.81	45.0
		20			29.87	44.5
		24			29.89	45.0
	26	4	Anchored at	Auckland Is.	29.90	44.0
		8			29.91	43.8
		12			29.90	46.1
		16			29.87	44.0
		20			29.89	44.0
